Conexiones activas de Internet (servidores w/o)
Proto  Recib Enviad Dirección local         Dirección remota       Estado      
tcp        0    417 192.168.0.150:44050     bog02s05-in-f8.1e1:http ESTABLECIDO
tcp        0      0 192.168.0.150:39746     104.28.30.143:http      ESTABLECIDO
tcp        0      0 192.168.0.150:53444     bn.com.pe:http          ESTABLECIDO
tcp        0      0 192.168.0.150:49442     192.168.0.100:webmin    ESTABLECIDO
tcp        0      0 192.168.0.150:38700     198.41.214.68:http      TIME_WAIT  
tcp        0      0 192.168.0.150:38836     ec2-54-86-188-30.c:http TIME_WAIT  
tcp        0      0 192.168.0.150:32824     a172-229-54-27.dep:http ESTABLECIDO
tcp        0      0 192.168.0.150:54910     mia07s35-in-f10.1e:http TIME_WAIT  
tcp        0      0 192.168.0.150:54905     mia07s35-in-f10.1e:http TIME_WAIT  
tcp        0      0 192.168.0.150:37199     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:49574     179.6.255.20:https      ESTABLECIDO
tcp        0      0 192.168.0.150:34381     a23-210-105-169.de:http ESTABLECIDO
tcp        0      0 192.168.0.150:51547     single-2040.banaho:http TIME_WAIT  
tcp        0      0 192.168.0.150:44049     bog02s05-in-f8.1e1:http ESTABLECIDO
tcp        0      0 192.168.0.150:37260     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:40200     j56970.servers.jif:http TIME_WAIT  
tcp        0      0 192.168.0.150:37273     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:37249     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:54144     scotty1.guildzilla:http TIME_WAIT  
tcp        0      0 192.168.0.150:44142     179.6.255.25:http       TIME_WAIT  
tcp        0      0 192.168.0.150:54991     a23-60-11-230.depl:http ESTABLECIDO
tcp        0      0 192.168.0.150:39745     104.28.30.143:http      ESTABLECIDO
tcp        0      0 192.168.0.150:41470     179.6.254.145:http      TIME_WAIT  
tcp        0      0 192.168.0.150:36139     mia07s27-in-f161.:https ESTABLECIDO
tcp        0      0 192.168.0.150:47265     108.161.188.246:http    TIME_WAIT  
tcp        0      0 192.168.0.150:55146     179.6.255.24:http       ESTABLECIDO
tcp        0      0 192.168.0.150:53487     104.24.116.39:http      ESTABLECIDO
tcp        0      0 192.168.0.150:44140     179.6.255.25:http       ESTABLECIDO
tcp        0      0 192.168.0.150:34389     a23-210-105-169.de:http ESTABLECIDO
tcp        0      0 192.168.0.150:54149     scotty1.guildzilla:http TIME_WAIT  
tcp        0      0 192.168.0.150:45163     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:41479     179.6.254.145:http      ESTABLECIDO
tcp        0      0 192.168.0.150:37250     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:55143     179.6.255.24:http       ESTABLECIDO
tcp        0      0 192.168.0.150:36141     mia07s27-in-f161.:https ESTABLECIDO
tcp        0      0 192.168.0.150:34380     a23-210-105-169.de:http ESTABLECIDO
tcp        0      0 192.168.0.150:47305     ec2-52-1-237-145.c:http TIME_WAIT  
tcp        0      0 192.168.0.150:41478     179.6.254.145:http      ESTABLECIDO
tcp        0      0 192.168.0.150:37252     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:49465     104.25.169.18:http      TIME_WAIT  
tcp        0      0 192.168.0.150:48860     mia07s34-in-f5.1e:https ESTABLECIDO
tcp        0      0 192.168.0.150:41425     edge-star-mini-sh:https ESTABLECIDO
tcp        0      0 192.168.0.150:41154     62.ec.6132.ip4.sta:http ESTABLECIDO
tcp        0      0 192.168.0.150:49461     104.25.169.18:http      TIME_WAIT  
tcp        0      0 192.168.0.150:58218     179.6.255.40:https      TIME_WAIT  
tcp        0      0 192.168.0.150:55779     ec2-23-23-101-150.:http TIME_WAIT  
tcp        0      0 192.168.0.150:49441     192.168.0.100:webmin    ESTABLECIDO
tcp        0      0 192.168.0.150:37259     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:39879     179.6.254.139:http      ESTABLECIDO
tcp        0      0 192.168.0.150:37193     yk-in-f95.1e100.ne:http ESTABLECIDO
tcp        0      0 192.168.0.150:54150     scotty1.guildzilla:http TIME_WAIT  
tcp        0      0 192.168.0.150:51105     a23-4-43-27.deploy:http TIME_WAIT  
tcp        0      0 192.168.0.150:37206     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:34387     a23-210-105-169.de:http ESTABLECIDO
tcp        0      0 192.168.0.150:33082     72.21.91.29:http        TIME_WAIT  
tcp        0      0 192.168.0.150:53195     198.41.214.67:http      ESTABLECIDO
tcp        0      0 192.168.0.150:35508     179.6.255.30:http       ESTABLECIDO
tcp        0      0 192.168.0.150:39765     104.28.30.143:http      TIME_WAIT  
tcp        0      0 192.168.0.150:39739     yk-in-f157.1e100.:https ESTABLECIDO
tcp        0      0 192.168.0.150:35318     179.6.255.20:http       ESTABLECIDO
tcp        0      0 192.168.0.150:58443     179.6.255.40:https      ESTABLECIDO
tcp        0      0 192.168.0.150:54908     mia07s35-in-f10.1e:http TIME_WAIT  
tcp        0      0 192.168.0.150:35313     179.6.255.20:http       ESTABLECIDO
tcp        0      0 192.168.0.150:60868     ec2-54-225-147-136:http ESTABLECIDO
tcp        0      0 192.168.0.150:51103     a23-4-43-27.deploy:http TIME_WAIT  
tcp        0      0 192.168.0.150:39503     179.6.254.162:http      TIME_WAIT  
tcp        0      0 192.168.0.150:54974     mia07s35-in-f10.1e:http TIME_WAIT  
